Index,Value
0,289.392
1,1.79769e+308
2,1.79769e+308
3,246.037
4,1.79769e+308
5,1.79769e+308
6,1.79769e+308
7,1.79769e+308
8,335.777
9,273.978
10,1.79769e+308
11,1.79769e+308
12,1.79769e+308
13,1.79769e+308
14,279.392
15,1.79769e+308
16,1.79769e+308
17,248.321
18,196.723
19,229.794
20,203.693
21,206.137
22,182.48
23,194.723
24,183.652
25,191.309
26,204.279
27,182.238
28,218.137
29,217.794
30,227.693
31,206.966
32,236.765
33,210.865
34,207.936
35,215.108
36,192.238
37,250.907
38,211.794
39,194.037
40,196.723
41,216.765
42,232.907
43,231.208
44,210.037
45,228.522
46,225.936
47,223.108
48,244.279
49,235.007
